Processor,Source,URL
intel-i3-10100,pcmag,https://www.pcmag.com/reviews/intel-core-i3-10100
intel-i3-10100,tomshardware,https://www.tomshardware.com/news/intel-quietly-launches-core-i3-10100f-to-battle-the-non-existent-ryzen-3-3300x
intel-i3-12100F,pcmag,https://www.pcmag.com/reviews/msi-pro-dp21
intel-i3-12100F,tomshardware,https://www.tomshardware.com/reviews/intel-core-i3-12100-12100f-review
intel-i3-13100,pcmag,https://www.pcmag.com/reviews/intel-core-i3-10100
intel-i3-13100,tomshardware,https://www.tomshardware.com/reviews/intel-core-i3-13100f-cpu-review
intel-i5-10400,pcmag,https://www.pcmag.com/reviews/intel-core-i5-10400
intel-i5-10400,tomshardware,https://www.tomshardware.com/news/intel-core-i5-10400-10th-gen-cpu
intel-i5-10600K,pcmag,https://www.pcmag.com/reviews/intel-core-i5-10600k
intel-i5-10600K,tomshardware,https://www.tomshardware.com/reviews/intel-core-i5-10600k-cpu-review
intel-i5-11600K,pcmag,https://www.pcmag.com/reviews/intel-core-i5-11600k
intel-i5-11600K,tomshardware,https://www.tomshardware.com/reviews/intel-core-i9-11900k-and-i5-11600k-review
intel-i5-12400F,pcmag,https://www.pcmag.com/reviews/intel-core-i5-12600k
intel-i5-12400F,tomshardware,https://www.tomshardware.com/news/intel-core-i5-12400-review
intel-i5-12600K,pcmag,https://www.pcmag.com/reviews/intel-core-i5-12600k
intel-i5-12600K,tomshardware,https://www.tomshardware.com/reviews/intel-core-i9-12900k-and-core-i5-12600k-review-retaking-the-gaming-crown
intel-i5-13400F,pcmag,https://www.pcmag.com/reviews/intel-core-i5-13400f
intel-i5-13400F,tomshardware,https://www.tomshardware.com/news/intel-core-i5-13400-core-i5-13400f-cpu-review
intel-i5-13500,pcmag,https://www.pcmag.com/reviews/intel-core-i5-13600k
intel-i5-13500,tomshardware,https://www.tomshardware.com/news/core-i5-13500-es-cpu-beats-core-i5-12500-by-over-50-percent
intel-i5-13600K,pcmag,https://www.pcmag.com/reviews/intel-core-i5-13600k
intel-i5-13600K,tomshardware,https://www.tomshardware.com/reviews/intel-core-i9-13900k-i5-13600k-cpu-review
intel-i5-14600K,pcmag,https://www.pcmag.com/reviews/intel-core-i5-14600k
intel-i5-14600K,tomshardware,https://www.tomshardware.com/news/intel-core-i9-14900k-cpu-review
intel-i7-10700K,pcmag,https://www.pcmag.com/reviews/intel-core-i7-11700k
intel-i7-10700K,tomshardware,https://www.tomshardware.com/reviews/intel-core-i7-10700k-cpu-review
intel-i7-11700K,pcmag,https://www.pcmag.com/reviews/intel-core-i7-11700k
intel-i7-11700K,tomshardware,https://www.tomshardware.com/reviews/intel-core-i7-11700k-cpu-review
intel-i7-12700K,pcmag,https://www.pcmag.com/reviews/intel-core-i7-12700k
intel-i7-12700K,tomshardware,https://www.tomshardware.com/reviews/intel-core-i7-12700k-review
intel-i7-13700K,pcmag,https://www.pcmag.com/reviews/intel-core-i7-13700k
intel-i7-13700K,tomshardware,https://www.tomshardware.com/reviews/intel-core-i7-13700k-cpu-review
intel-i7-14700KF,pcmag,https://www.pcmag.com/reviews/intel-core-i7-14700k
intel-i7-14700KF,tomshardware,https://www.tomshardware.com/news/intels-upcoming-core-i7-14700kf-nearly-hits-6-ghz-in-new-benchmark
intel-i9-10900K,pcmag,https://www.pcmag.com/comparisons/amd-ryzen-9-5900x-vs-intel-core-i9-10900k-which-high-end-cpu-is-right-for
intel-i9-10900K,tomshardware,https://www.tomshardware.com/reviews/intel-core-i9-10900k-cpu-review
intel-i9-11900K,pcmag,https://www.pcmag.com/reviews/intel-core-i9-11900k
intel-i9-11900K,tomshardware,https://www.tomshardware.com/reviews/intel-core-i9-11900k-and-i5-11600k-review
intel-i9-12900K,pcmag,https://www.pcmag.com/reviews/intel-core-i9-12900k
intel-i9-12900K,tomshardware,https://www.tomshardware.com/reviews/intel-core-i9-12900k-and-core-i5-12600k-review-retaking-the-gaming-crown
intel-i9-13900K,pcmag,https://www.pcmag.com/reviews/intel-core-i9-13900k
intel-i9-13900K,tomshardware,https://www.tomshardware.com/reviews/intel-core-i9-13900k-i5-13600k-cpu-review
intel-i9-14900K,pcmag,https://www.pcmag.com/reviews/intel-core-i9-14900k
intel-i9-14900K,tomshardware,https://www.tomshardware.com/news/intel-core-i9-14900k-cpu-review
