Processor,Source,Summary
intel-i3-10100,pcmag,"The Intel Core i3-10100, priced at $122, competes with AMD's Ryzen 3 3300X ($120). Despite adding Hyper-Threading, the i3-10100 sometimes lags behind its predecessor, the i3-9100, and the Ryzen 3 3300X. The i3-10100's onboard graphics can be a selling point, but the Ryzen 3 3200G offers better value for budget-conscious buyers. Intel's new LGA 1200 socket demands costly motherboard upgrades, adding to the expense. Performance tests show the i3-10100 struggles against the Ryzen 3 3300X in gaming. For those looking for better price-to-performance, AMD's offerings are generally superior."
intel-i3-10100,tomshardware,"The Intel Core i3-10100F, a 14nm Comet Lake chip, offers four cores and eight threads at 3.6 GHz (boosting to 4.3 GHz) with a 65W TDP, making it a budget-friendly gaming option with low cooling needs. The ""F"" suffix means it lacks integrated graphics, suiting gamers who use discrete graphics cards. Priced between $79 and $97, its release date is yet unconfirmed. Competing with AMD's Ryzen 3 3300X, also without integrated graphics and in the 65W category, the i3-10100F could be a strong contender if Intel ensures availability. AMD's Ryzen 3 3300X has been out of stock, adding to the potential advantage for Intel."
intel-i3-12100F,pcmag,"The MSI Pro DP21 is a compact, budget-friendly mini PC starting at $329 ($471 as tested). It features a quad-core Intel Core i3-12100 processor, 8GB of RAM, a 256GB SSD, and Windows 11 Home. Measuring just 2.2 by 8 by 8.2 inches, it supports VESA mounting and offers a plethora of ports, Wi-Fi 6, and Bluetooth connectivity. Unlike some competitors, it balances price and performance well, making it ideal for home and business use. Despite its small size, it is highly upgradeable, with accessible slots for SSDs, RAM, and even a replaceable CPU. Its desktop-grade performance and connectivity options earn it an Editors' Choice award among budget mini PCs."
intel-i3-12100F,tomshardware,"The Intel Core i3-12100, with its Alder Lake architecture, has solidified Intel's dominance in the budget segment. It outperforms even pricier Ryzen 5000 series chips and pairs well with the B660 and H610 motherboards, which, although slightly more expensive, offer extensive connectivity options for budget builds. This combination of performance, reasonable pricing, and improved stock cooling makes the quad-core i3-12100 a standout in the $100 to $130 range, effectively challenging more expensive competitors. Overall, Intel�s offering is a strong choice for budget-conscious buyers seeking robust performance."
intel-i3-13100,pcmag,"The Core i3-10100 is the entry-level Core chip in Intel's 10th Generation lineup. AMD's Ryzen 3 3300X has proven itself to be a four-core CPU that punches above its weight in popular games. Unless The Intel Core i3-10100 lands in the 10th Gen stack as Intel's entry-level Core CPU. On the street the processor is both widely available at the time of publish. The chip also adds back in a critical feature that was missing The Intel Core i3-10100 is only compatible with motherboards that use one of the following new-for-2020 chipsets: Intel B460, H410, H470, or Z490. There are a number of budget-chips Intel's Core i3-10100 hits back with the inclusion of its UHD Graphics 630 integrated graphics processor. This more fairly puts the $99 ""Zen+""-based AMD Ryzen 3 3200G or the around-$150 AMD Ryzen 5 3400G Intel includes its familiar, basic stock cooler in every Core i3-10100 box. Gamers might still want to saddle up with something slightly beefier, but it will do the job. The Intel Core i3-10100 isn't meant to be a multi-threaded rock star on this particular stage. On single- threaded tasks the chip performed well, but oddly seemed to struggle against its predecessor. Despite having four more threads The Intel Core i3-10100 takes a beating from the AMD Ryzen 3 3300X. The i3 can keep pace with (or set a new one against) the Radeon Vega-IGP-equipped AMDRyzen 3 3200G. Some of the The Intel Core i3-10100 is often looked at as both a chip that can power games alongside a discrete graphics card, and one that can run the show all on its own. The Ryzen 3 3200G, as its own budget gaming engine, The Intel Core i3-10100 never crested above a balmy 46 degrees C during our testing. We didn't run any tests on the stock cooler, since using that is outside of our standard testing regimen. As a four- The Intel Core i3-10100 shows just the tough spot that its 10th Generation desktop silicon has left Intel in price, value, and performance. If you want to overclock a processor at this level, the Ryzen 3 3300X and its unlocked As an IGP-equipped CPU, the Core i3-10100 will serve its duties just fine. But as a ""gaming"" solution, it left us wanting. Perhaps Intel's 11th Generation Core ""Rocket Lake"" desktop CPUs, likely appearing Intel's entry-level Core i3-10100 CPU requires an all-new motherboard platform to install. Our sample chip's performance numbers are far enough below AMD"
intel-i3-13100,tomshardware,"The Intel Core i3-13100F comes to market with big shoes to fill. Its predecessor, the Core i2-12100F, built a reputation as the best budget CPU for gaming. The 13100F addresses The new Zen 3 processors initially arrived with slightly higher price tags than expected. But they now represent an exceptional value at their current pricing. The $144 Core i3-13100 faces stiff competition from the $140 Ryzen 5 5600. The new Core i3-13100/F comes with four performance cores and eight threads, but no e-cores for background tasks. As before, the 13100 has a 60W / 89W processor base/max turbo power, 16 PCIe The standard Core i3-13100 comes with the UHD Graphics 730 engine and 24 EUs that run at 300/1500 MHz base/boost frequencies. You can save some cash by going without graphics with the F- AMD's lowest-end Zen 3 chip, the Ryzen 5 5500, debuted at $150 but now retails for a mere $99. For this chip, AMD repurposed its monolithic (single-chip) Cezanne silicon. The 5500 wields a 3.6 / 4.2 GHz base/boost clock."
intel-i5-10400,pcmag,"Intel's Core i5-10400 is not the company's flagship six-core desktop CPU. The Core is a solid value pick for those who already own an LGA 1200 motherboard. But strictly as a midrange upgrade, AMD's Ryzen 5 chips The six-core/12-thread Intel Core i5-10400 represents the low end of Intel's desktop lineup. It's priced around $150 to $300, compared to AMD's lineup of entry-level and midrange CPUs.  AMD's Ryzen 3 3400G is one of the only chips in the same price range with integrated graphics. While the Intel Core i5-10400 lists for $182, you may find it between $150 and $160, depending on where you The Core i5-10400 sees the reintroduction of Hyper-Threading to its spec sheet. Intel's insistence on refreshing its desktop sockets with such regularity has once again shot the company's budget-focused options in their metaphorical feet. The Intel Core i5-10400 rests right around the cusp of where Intel stops including its stock coolers bundled in the box. At this price point including one makes sense. This is not an Overclocking CPU, so the fan in the Intel's Core i5-10400 is one of the most powerful processors on the market. We put it to the test using a variety of synthetic benchmarks and real-world tests. We also run several games using the IGP alone, without a The Core i5-10400 does decisively top the four-core, IGP-equipped Ryzen 5 3400G in all of the CPU tests. AMD silicon (at least, if you compare on launch prices) continues to dominate in content creation and productivity The Intel Core i5-10400 straddles the line as a chip that can power games along with a discrete GPU. It can run the show all on its own with the help of its onboard Intel UHD Graphics 630. We run lower-end CPUs that have Intel's venerable UHD Graphics 630 silicon has been showing its age for some time now. nowhere is that contrast more obvious than when stacked up against AMD's Radeon RX Vega integrated silicon. Both the Vega 8 and Vega 11 IGPs have proven themselves to be The Intel Core i5-10400 never topped 57 degrees C in our testing. That's likely down to our overkill cooling system used in our testbed. Those looking for a six-core Intel-based option that can have its boost clocks The Core i5-10400 slots right into its expected spot in the mainstream CPU hierarchy. If you want a six-core 10th Generation Intel processor with slightly more productivity potential and some overclockability, this is your chip. However, if The Intel Core i5-10400 doesn't fit into any category as an outright winner. If on-the-cheap, no-video-card gaming is what you are after, it is no contest. The Core i5-10400 is as good as it gets in Intel's 10th Generation"
intel-i5-10400,tomshardware,"In single-threaded applications, the new Comet Lake chip hardly showed any performance gains over the 9th Gen Coffee Lake chip. The i5-10400 performed significantly better"
intel-i5-10600K,pcmag,"The Intel Core i5-10600K is the company's top entry into the midrange-enthusiast/mainstream segment. It's born into a tough spot, though: Its high price and the shape of the competition may Intel has crammed a few more cores into various tiers of its lineup. But overall, the cost of upgrading to the Z490 platform is a concern. The initial Z490 boards tend to be deluxe models, though cheaper B460, H470, and H The Intel Core i5-10600K is a six-core/12-thread CPU with an Intel UHD Graphics 630 integrated graphics processor. It has a rather high TDP of 125 watts, and a 4.1GHz base clock. With better boards, the more robust power handling needed to push a 125-watt CPU like this one to the limit. These boards started at about $160 at this writing and rose steadily from there. The Core i5-10600K and Core i9-10900K lack the UHD Graphics 630 silicon. This means you'll need to have a discrete video card factored into the cost of your build or upgrade. Intel also offers processors in its Pricing is also a thorny issue between the i5-10600K and its lesser 10th Gen Core i5 kin. We decided to list the current street prices for the two Ryzens rather than AMD's MSRP (list price The Core i5-10600K is at least 20 to 30 percent more expensive than its closest AMD equivalent, the six-core/12-thread Ryzen 5 3600X. That is not too surprising considering the huge leaps that AMD made alongside The Core i5-10600K is one of the few Intel processors that doesn't come with a stock cooler. We suspect a high-end air cooler or a liquid cooler is in order if you intend to tweak. LGA 1200 works with coolers designed We had difficulties getting the board to install Windows 10 on a couple of SATA SSDs. We ended up settling on the Asus ROG Maximus XII Hero board as our alternate tester. Among the most widely used predictors of a CPU's relative performance are the Cinebench R15 and R20 benchmark tests. These are thoroughly CPU-centric tests that gauge both the single-core performance and the multicore performance of a Ryzen 5 3400G is the closest equivalent AMD mainstream CPU with onboard IGP. It uses older ""Zen+"" process tech, not Zen 2. It is a lot weaker than the Core i5. Intel's Core i5-10600K is the superior single-core engine of the bunch. POV-Ray is a synthetic, highly threaded rendering test that offers a second opinion on the Cinebench results. The Intel Core i5-10600K keeps a regular pace with its AMD equivalents. It yet again is shown up by the Ryzen 7 3700X at a percentage (the i5 taking 33 percent longer) The Core i5-10600K leads the AMD field at 1080p. At 4K, the differences at that resolution are essentially margin-of-error meaningless. At 1080p, the card gets out of the way a bit more. The Core i5-10600K struggles to justify its cost gap between AMD's price-equivalent options in a wider sense. For most folks, the moderate gaming frame-rate improvements won't be enough to warrant the price jump. The differences in The Core i5-10600K does almost enough to look like a good deal for mainstream gamers. The real argument-changer, though, is the four-core/eight-thread Ryzen 3 3300X. For the $100-plus We ran into issues getting Intel's in-Windows XTU utility to show much improvement. The only gains came by tweaking the power-limit (PL) states in XTU to keep the chip from power-limiting partway into test runs. We suspect a The Core i5-10600K has a much lower (3.3GHz) base clock than the cheaper non-K chip. If you're dead-set on grabbing an Intel CPU in this price bracket and don't care about getting into the tweak The Intel Core i5-10600K is likely going to debut at somewhere around $275 to $300 once it's on shelves. That's more than twice as expensive as the Ryzen 3 3300X, while performing an average of only 11 percent faster Intel's Core i5-10600K looks a bit too pricey for today's CPU climate. AMD simply does that balance better as we head into the second half of 2014. AMD's Zen 2 processors are consistently the better value in multi-thread-heavy content crunching. At this writing, we didn't see the Core i5-10600K processor available from any U.S. etailers yet The Core i5-10600K is expected to go on sale in the U.S. later this month. Intel says the processors will be available as stock becomes available. AMD is producing same-core-count processors for close to, if not less than, Intel CNN.com will feature iReporter photos in a weekly"
intel-i5-10600K,tomshardware,"Intel's Core i5 series could definitely use some help -- the third-gen Ryzen processors did the most damage in Intel's mid-range due to their superior value and ultra-competitive gaming performance. For gamers looking for the The 10600K's UHD Graphics 630 engine remains the same compared to the prior gen. That gives Intel a leg up over AMD, which doesn't offer integrated graphics in this price range. Just don't expect to do any meaningful The six-core, twelve thread Core i5-10600K ticks at a 4.1 GHz and 4.8 GHz boost. Intel doesn't include it's complicated matrix of TurboBoost 3.0 Max and Thermal Velocity Boost (TVB) clock The 10600K comes with 12MB of L3 cache, an increase of 3MB over the Core i5-9600K. Intel increased memory support up to DDR4-"
intel-i5-11600K,pcmag,"The six-core/12-thread Core i5-11600K is a sturdier look into what we can hope to expect out of Intel's line of upcoming CPUs. Single-core performance, as ever, remains an The Intel Core i5-11600K is a strapping entry into a slightly crowded, but constantly evolving, segment of the market. For the Intel faithful looking for a solid chip to use with a video card to PC-game on a budget Intel is now sniping down AMD's pricing, rather than things being the other way around. AMD's price creep of $50 is the key to Intel's edge this time around. Over on Intel's aisle, there aren't any ground- The Core i5-11600K includes a new Intel UHD Graphics 750 integrated graphics processor. AMD doesn't yet have any processors with an IGP plus more than four cores onboard. Intel has no plans to include a bundled cooler with its Core i The Core i5-11600K is one of Intel's unlocked ""K"" chips. The expectation is that the overclockers who buy K-models will want to bring their own cooler. We tested the chip on an Asus ROG Maximus Intel's Core i5-11600K is the latest in a line of processors from the company. It's the first to retain Hyper-Threading below the Core i9 level. We tested the chip using a variety of synthetic benchmarks and The Intel Core i5-11600K is cheaper than the AMD 5600X. The chip is still a viable option for value hunters who don't mind staying back a generation. The Core i5-11600K is competitive with AMD, but it still loses out in most head-to-head battles. This is the first Intel processor to have actually stayed competitive withAMD on price in a while. The Intel Core i5-11600K straddles the line as a chip that can power games along with a discrete GPU. The chip can run the show all on its own with the help of its onboard Iris Xe-based UHD Graphics 750 silicon. Intel UHD Graphics 630 can't even carry the UHD 750's coat. AMD's G 3000 Series chips still have it beat for tight-budget gamers looking for CPU and GPU power in a single chip. The Intel Core i5-11600K never topped 86 degrees C in our stress testing. That figure could be down to the overkill 240mm AIO liquid cooling system. A larger air cooler or a smaller liquid loop could achieve similar results. The Intel Core i5-11600K is a dutiful, if a bit stodgy, entry into the marketplace. Given the choice between it and the AMD Ryzen 5 5600X, even with the price difference in Intel's favor it's still AMD If you've been waiting to upgrade an older-generation Intel midrange CPU, the Core i5-11600K should be a consideration. AMD's Ryzen 5 3400G again swoops in to prove itself as the superior IGP- the newsletters at any time."
intel-i5-11600K,tomshardware,"The Core i5-11600K has a much friendlier $262 price point that's much more competitive with AMD's comparable chips. In light of its price point, it has a very competitive price-to-performance ratio with the The eight-core Core i9-11900K slots in as the flagship model for the Rocket Lake family. Two of the chip's cores boost to a peak of 5.3 GHz, and all cores can operate at 4.8 GHz simultaneously. The Core i9-11900K is Intel's first chip with Adaptive Boost Technology (ABT) ABT allows the processors to dynamically boost to higher all-core frequencies based upon available thermal headroom and electrical conditions. The chip The $262 six-core Core i5-11600K matches the pricing of the previous-gen i5 10600K. The 11600K boosts to a peak of 4.9 GHz on two cores and can maintain a 4.6 All other Rocket Lake chips only officially support DDR4-3200 with the 'Gear 2' setting, which allows the memory to operate at twice the frequency of the memory controller. The official top speed for the Gear 1 setting All Rocket Lake-S chips come with the same eight-core die, with two cores disabled for the six-core models. The 11600K has the same peak power specifications and 34% more silicon area from which to dissipate the thermal Intel could have shrunk or removed the integrated graphics engine to cram in more CPU cores. But integrated graphics are a key requirement for the high-volume OEM systems market. Intel's 14nm process is ultra-mature, so we"
